ID	Category	Description
150102441	ASSAULT	AGGRAVATED ASSAULT WITH A DEADLY WEAPON
150057329	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150058690	LARCENY/THEFT	THEFT OF COMPUTERS OR CELL PHONES
150007954	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150043453	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150050561	LARCENY/THEFT	GRAND THEFT SHOPLIFTING
150042386	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150127251	BURGLARY	BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY
150053662	ASSAULT	INFLICT INJURY ON COHABITEE
150055806	OTHER OFFENSES	VIOLATION OF RESTRAINING ORDER
150013600	NON-CRIMINAL	AIDED CASE, INJURED PERSON
150133571	VEHICLE THEFT	STOLEN AUTOMOBILE
150036577	ASSAULT	CHILD ABUSE (PHYSICAL)
150033608	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150042609	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150018876	DRUG/NARCOTIC	HYPODERMIC NEEDLE OR SYRINGE, POSSESSION
150948057	WEAPON LAWS	EXHIBITING DEADLY WEAPON IN A THREATING MANNER
150518365	MISSING PERSON	MISSING JUVENILE
150106471	OTHER OFFENSES	FALSE PERSONATION
150598828	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150427578	FORGERY/COUNTERFEITING	MONEY, CHANGING FACE AMOUNT
150000481	ASSAULT	BATTERY
150061922	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150406362	ROBBERY	ROBBERY ON THE STREET, STRONGARM
150025144	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150067572	ASSAULT	THREATS AGAINST LIFE
150585176	NON-CRIMINAL	FOUND PROPERTY
150044172	BURGLARY	BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY
150330501	MISSING PERSON	MISSING ADULT
150178135	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION
150034979	VEHICLE THEFT	STOLEN TRUCK
150070086	OTHER OFFENSES	VIOLATION OF EMERGENCY PROTECTIVE ORDER
150011444	ROBBERY	ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
150025122	WEAPON LAWS	FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE
150040211	RECOVERED VEHICLE	RECOVERED VEHICLE - STOLEN OUTSIDE SF
150034327	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150023251	FORGERY/COUNTERFEITING	CHECKS, MAKE OR PASS FICTITIOUS
150007017	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150007512	FORGERY/COUNTERFEITING	CHECKS, MAKE OR PASS FICTITIOUS
150045095	FORGERY/COUNTERFEITING	MONEY, CHANGING FACE AMOUNT
150005099	OTHER OFFENSES	FALSE PERSONATION
150390072	OTHER OFFENSES	VIOLATION OF RESTRAINING ORDER
150606261	NON-CRIMINAL	FIRE REPORT
150194868	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150141295	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150041338	OTHER OFFENSES	TRAFFIC VIOLATION
150028160	SECONDARY CODES	JUVENILE INVOLVED
150041441	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150012834	BURGLARY	BURGLARY, UNLAWFUL ENTRY
150037525	WARRANTS	WARRANT ARREST
150040879	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
151032356	WARRANTS	WARRANT ARREST
150030654	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150019363	WARRANTS	WARRANT ARREST
150018638	NON-CRIMINAL	AIDED CASE
150032707	VEHICLE THEFT	STOLEN AUTOMOBILE
150026443	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150006097	NON-CRIMINAL	LOST PROPERTY
150048845	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150134541	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150045233	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150001730	NON-CRIMINAL	FOUND PROPERTY
150036806	VEHICLE THEFT	STOLEN AUTOMOBILE
150040885	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150059648	LARCENY/THEFT	PETTY THEFT OF PROPERTY
150124291	DRIVING UNDER THE INFLUENCE	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
130789746	OTHER OFFENSES	PROBATION VIOLATION
150061455	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150039195	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150104124	NON-CRIMINAL	LOST PROPERTY
150716810	FORGERY/COUNTERFEITING	FORGERY, NOTES
150042659	BURGLARY	BURGLARY OF RESIDENCE, FORCIBLE ENTRY
150034957	FRAUD	CREDIT CARD, THEFT BY USE OF
150465619	OTHER OFFENSES	RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER
151088569	ASSAULT	BATTERY
150037876	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150025100	LARCENY/THEFT	GRAND THEFT FROM PERSON
151086591	OTHER OFFENSES	FALSE PERSONATION
150126009	BURGLARY	BURGLARY, HOT PROWL, FORCIBLE ENTRY
150623992	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150130931	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150057868	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150020837	BURGLARY	BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
150021675	OTHER OFFENSES	RESISTING ARREST
140874149	RECOVERED VEHICLE	STOLEN AND RECOVERED VEHICLE
150008504	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150137238	NON-CRIMINAL	LOST PROPERTY
150040493	OTHER OFFENSES	TRAFFIC VIOLATION
150047524	OTHER OFFENSES	FALSE PERSONATION
150661748	ASSAULT	BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
150018826	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150035206	ROBBERY	ROBBERY ON THE STREET WITH A GUN
150038965	FORGERY/COUNTERFEITING	CHECKS, MAKE OR PASS FICTITIOUS
150022708	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150010236	WARRANTS	ENROUTE TO DEPARTMENT OF CORRECTIONS
150639999	FRAUD	CREDIT CARD, THEFT BY USE OF
150048425	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150122734	BURGLARY	BURGLARY, VEHICLE (ARREST MADE)
150028819	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150040421	MISSING PERSON	MISSING ADULT
150025627	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150023819	MISSING PERSON	FOUND PERSON
150017179	DRUG/NARCOTIC	SALE OF BASE/ROCK COCAINE
150012022	BURGLARY	BURGLARY, FORCIBLE ENTRY
150132012	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150082683	OTHER OFFENSES	TOBACCO PRODUCTS, SELLING OR FURNISHING TO MINOR
150048124	DRUG/NARCOTIC	POSSESSION OF METH-AMPHETAMINE
150014896	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150023819	MISSING PERSON	MISSING JUVENILE
150056014	ASSAULT	AGGRAVATED ASSAULT WITH A KNIFE
150135436	BURGLARY	BURGLARY OF RESIDENCE, FORCIBLE ENTRY
150066621	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150193901	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150000992	LARCENY/THEFT	GRAND THEFT FROM PERSON
150574408	ASSAULT	BATTERY
150001821	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150027968	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150127392	NON-CRIMINAL	AIDED CASE
150135862	WARRANTS	WARRANT ARREST
150049956	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION
150026926	NON-CRIMINAL	LOST PROPERTY
150059591	DRUG/NARCOTIC	POSSESSION OF MARIJUANA
150010048	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150409651	MISSING PERSON	FOUND PERSON
150031680	OTHER OFFENSES	FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
150355907	WEAPON LAWS	POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
150066790	MISSING PERSON	MISSING ADULT
150140554	DRUG/NARCOTIC	TRANSPORTATION OF MARIJUANA
150018989	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150058383	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150027742	VEHICLE THEFT	STOLEN AUTOMOBILE
150047637	VEHICLE THEFT	STOLEN TRUCK
150063809	BURGLARY	BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
150022281	VEHICLE THEFT	STOLEN AUTOMOBILE
150028869	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150394820	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150061524	ASSAULT	BATTERY
160000108	ASSAULT	BATTERY
150021443	NON-CRIMINAL	CASE CLOSURE
150511933	ASSAULT	INFLICT INJURY ON COHABITEE
150037989	ROBBERY	ROBBERY ON THE STREET, STRONGARM
156295509	LARCENY/THEFT	PETTY THEFT BICYCLE
150103938	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150037218	ROBBERY	ROBBERY ON THE STREET, STRONGARM
150261401	OTHER OFFENSES	FALSE REPORT OF BOMB
150215890	OTHER OFFENSES	RESISTING ARREST
150427578	FRAUD	FALSE PRETENSES, PETTY THEFT
150581889	WARRANTS	WARRANT ARREST
150891713	NON-CRIMINAL	FOUND PROPERTY
150025291	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150041435	NON-CRIMINAL	CIVIL SIDEWALKS, WARNING
150038987	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150042223	SUSPICIOUS OCC	SUSPICIOUS ACT TOWARDS FEMALE
150006257	WARRANTS	WARRANT ARREST
150019153	DRUG/NARCOTIC	POSSESSION OF MARIJUANA
150072612	NON-CRIMINAL	FOUND PROPERTY
150052404	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150004455	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150274476	OTHER OFFENSES	LOST/STOLEN LICENSE PLATE
150045192	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150054121	NON-CRIMINAL	FOUND PROPERTY
150045205	FRAUD	CREDIT CARD, THEFT BY USE OF
150037519	NON-CRIMINAL	FOUND PROPERTY
150006893	VANDALISM	MALICIOUS MISCHIEF, ADULT SUSPECT
150033846	LARCENY/THEFT	PETTY THEFT BICYCLE
150137614	ROBBERY	ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
150022764	NON-CRIMINAL	CASE CLOSURE
150000340	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150081475	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150084639	WARRANTS	WARRANT ARREST
150051741	NON-CRIMINAL	FOUND PROPERTY
150096684	DRUNKENNESS	UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
150115165	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150710919	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150136569	NON-CRIMINAL	AIDED CASE
150048889	MISSING PERSON	FOUND PERSON
150052012	STOLEN PROPERTY	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
150057432	OTHER OFFENSES	HARASSING PHONE CALLS
150008899	NON-CRIMINAL	AIDED CASE
150012301	DRUG/NARCOTIC	PLANTING/CULTIVATING MARIJUANA
150020978	OTHER OFFENSES	CONSPIRACY
150063423	WEAPON LAWS	POSSESSION OF AIR GUN
150143348	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150049445	OTHER OFFENSES	RESISTING ARREST
151025997	VEHICLE THEFT	STOLEN AUTOMOBILE
150056826	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150333737	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150001649	LARCENY/THEFT	GRAND THEFT FROM UNLOCKED AUTO
150018804	NON-CRIMINAL	CIVIL SIDEWALKS, CITATION
150011927	NON-CRIMINAL	COURTESY REPORT
150006489	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150068780	SECONDARY CODES	GANG ACTIVITY
150003184	NON-CRIMINAL	AIDED CASE, INJURED PERSON
150072797	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150047336	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION
150049962	OTHER OFFENSES	PAROLE VIOLATION
150064089	MISSING PERSON	MISSING ADULT
150040562	NON-CRIMINAL	AIDED CASE, DOG BITE
150053587	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150020144	ASSAULT	THREATS AGAINST LIFE
150059905	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
150051133	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150004596	DRUG/NARCOTIC	SALE OF MARIJUANA
150006774	LARCENY/THEFT	GRAND THEFT SHOPLIFTING
150010979	VEHICLE THEFT	STOLEN AUTOMOBILE
150713151	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
150433735	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150056854	MISSING PERSON	FOUND PERSON
150012765	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150647679	ASSAULT	INFLICT INJURY ON COHABITEE
150122085	VEHICLE THEFT	STOLEN TRUCK
150020081	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150053424	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150194852	FRAUD	FORGERY, CREDIT CARD
150001100	VEHICLE THEFT	STOLEN AUTOMOBILE
150026186	ASSAULT	AGGRAVATED ASSAULT WITH A DEADLY WEAPON
150003071	OTHER OFFENSES	RESISTING ARREST
141025725	OTHER OFFENSES	TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE
150001172	DRUG/NARCOTIC	POSSESSION OF METH-AMPHETAMINE
150030610	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150661823	WARRANTS	ENROUTE TO DEPARTMENT OF CORRECTIONS
150653751	FRAUD	CREDIT CARD, THEFT BY USE OF
150210000	FRAUD	FALSE ID TO PEACE OFFICER
150573579	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150016369	ROBBERY	ROBBERY ON THE STREET, STRONGARM
150052846	OTHER OFFENSES	CONSPIRACY
150441891	ASSAULT	BATTERY
150022009	WARRANTS	ENROUTE TO DEPARTMENT OF CORRECTIONS
160076115	VEHICLE THEFT	STOLEN AUTOMOBILE
150536931	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150024221	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150008714	OTHER OFFENSES	PAROLE VIOLATION
150014391	LARCENY/THEFT	PETTY THEFT FROM UNLOCKED AUTO
150785586	MISSING PERSON	MISSING JUVENILE
150046253	ASSAULT	BATTERY
150033272	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150045619	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150642118	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150061267	RECOVERED VEHICLE	RECOVERED VEHICLE - STOLEN OUTSIDE SF
150090874	WARRANTS	WARRANT ARREST
150084297	SECONDARY CODES	JUVENILE INVOLVED
150019846	ASSAULT	BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
150048130	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150226502	ASSAULT	BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
150006837	WEAPON LAWS	CARRYING OF CONCEALED WEAPON BY CONVICTED FELON
150082207	MISSING PERSON	FOUND PERSON
150001809	MISSING PERSON	MISSING ADULT
150031674	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150137620	VEHICLE THEFT	STOLEN AUTOMOBILE
150020768	ASSAULT	BATTERY
150057664	FORGERY/COUNTERFEITING	FORGERY & COUNTERFEITING (GENERAL)
150739953	BURGLARY	BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
151109024	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150033608	BURGLARY	BURGLARY, VEHICLE (ARREST MADE)
150020508	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
150033410	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
150007619	OTHER OFFENSES	LOST/STOLEN LICENSE PLATE
150049649	NON-CRIMINAL	LOST PROPERTY
150055583	ASSAULT	ASSAULT WITH CAUSTIC CHEMICALS
150052272	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150014250	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150030074	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150056478	BURGLARY	BURGLARY, HOT PROWL, UNLAWFUL ENTRY
150007205	DRUG/NARCOTIC	SALE OF MARIJUANA
150035949	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150115773	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150283392	OTHER OFFENSES	RESISTING ARREST
150383271	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150039662	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150618175	BURGLARY	BURGLARY, FORCIBLE ENTRY
150018456	WARRANTS	WARRANT ARREST
150092375	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150028687	WARRANTS	WARRANT ARREST
150052169	ROBBERY	ROBBERY OF A CHAIN STORE WITH BODILY FORCE
150587570	OTHER OFFENSES	STAY AWAY ORDER VIOLATION, DV RELATED
150018199	FRAUD	FRAUDULENT USE OF AUTOMATED TELLER CARD
150061198	ASSAULT	ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
150021277	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150028477	OTHER OFFENSES	VIOLATION OF MUNICIPAL CODE
150030507	STOLEN PROPERTY	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
150012044	BURGLARY	BURGLARY, UNLAWFUL ENTRY
150053117	DRIVING UNDER THE INFLUENCE	DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
150640247	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150437743	OTHER OFFENSES	LOST/STOLEN LICENSE PLATE
150398060	VEHICLE THEFT	STOLEN AUTOMOBILE
150038131	WARRANTS	WARRANT ARREST
150025401	VANDALISM	MALICIOUS MISCHIEF, VANDALISM
150028251	MISSING PERSON	MISSING ADULT
150053753	VEHICLE THEFT	STOLEN AUTOMOBILE
150051666	BURGLARY	BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
150011325	OTHER OFFENSES	INTOXICATED JUVENILE
150059096	NON-CRIMINAL	FOUND PROPERTY
150014551	BURGLARY	BURGLARY, VEHICLE (ARREST MADE)
150060883	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150011507	MISSING PERSON	MISSING JUVENILE
150061104	SUSPICIOUS OCC	SUSPICIOUS ACT TOWARDS CHILD
150023659	LARCENY/THEFT	GRAND THEFT FROM UNLOCKED AUTO
150107463	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150028756	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150025122	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150048340	BURGLARY	BURGLARY OF RESIDENCE, FORCIBLE ENTRY
150108728	RECOVERED VEHICLE	RECOVERED VEHICLE - STOLEN OUTSIDE SF
150046372	VEHICLE THEFT	STOLEN AUTOMOBILE
120438696	OTHER OFFENSES	LOST/STOLEN LICENSE PLATE
150055044	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150024657	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150035256	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150779880	ASSAULT	AGGRAVATED ASSAULT WITH A DEADLY WEAPON
150045631	OTHER OFFENSES	FAILURE TO REGISTER AS SEX OFFENDER
150057874	DRUG/NARCOTIC	POSSESSION OF HEROIN FOR SALES
150018694	NON-CRIMINAL	AIDED CASE
150200108	DRUG/NARCOTIC	SALE OF HEROIN
150049166	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150036834	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION
150629655	MISSING PERSON	MISSING JUVENILE
150054507	WARRANTS	WARRANT ARREST
150007136	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150061336	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150105815	OTHER OFFENSES	PEDDLING WITHOUT A LICENSE
150073494	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150017721	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150038357	DRUG/NARCOTIC	POSSESSION OF COCAINE
150060457	NON-CRIMINAL	DEATH REPORT, CAUSE UNKNOWN
150025730	ASSAULT	BATTERY
150031630	OTHER OFFENSES	PROBATION VIOLATION
150772793	OTHER OFFENSES	RESISTING ARREST
150039361	STOLEN PROPERTY	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
150026716	NON-CRIMINAL	PROPERTY FOR IDENTIFICATION
150102178	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150114349	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150571802	VEHICLE THEFT	STOLEN AUTOMOBILE
150047217	OTHER OFFENSES	TRAFFIC VIOLATION
150037161	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150072606	ASSAULT	BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
150052294	STOLEN PROPERTY	STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
150776507	VANDALISM	MALICIOUS MISCHIEF, GRAFFITI
150046225	TRESPASS	TRESPASSING
150010402	ASSAULT	BATTERY
150057620	NON-CRIMINAL	FOUND PROPERTY
150018359	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150775446	WEAPON LAWS	CARRYING A CONCEALED WEAPON
150102504	ASSAULT	BATTERY
150067055	NON-CRIMINAL	FOUND PROPERTY
150000760	NON-CRIMINAL	FOUND PROPERTY
150690888	ASSAULT	AGGRAVATED ASSAULT WITH A DEADLY WEAPON
150073369	NON-CRIMINAL	AIDED CASE -PROPERTY FOR DESTRUCTION
130342037	EMBEZZLEMENT	EMBEZZLEMENT, PETTY THEFT BY EMPLOYEE
150309437	OTHER OFFENSES	TRAFFIC VIOLATION
150518923	TRESPASS	TRESPASSING
150096349	ASSAULT	INFLICT INJURY ON COHABITEE
150039496	LARCENY/THEFT	PETTY THEFT FROM UNLOCKED AUTO
150446716	DRUG/NARCOTIC	POSSESSION OF NARCOTICS PARAPHERNALIA
150040249	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150009386	VANDALISM	MALICIOUS MISCHIEF, STREET CARS/BUSES
150045089	NON-CRIMINAL	STAY AWAY OR COURT ORDER, NON-DV RELATED
150096521	OTHER OFFENSES	RESISTING ARREST
150036226	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150041849	OTHER OFFENSES	RESISTING ARREST
150685243	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150001683	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150011563	ASSAULT	INFLICT INJURY ON COHABITEE
150006558	VEHICLE THEFT	STOLEN AUTOMOBILE
150016206	NON-CRIMINAL	AIDED CASE -PROPERTY FOR DESTRUCTION
150427556	OTHER OFFENSES	RESISTING ARREST
150221273	ASSAULT	BATTERY
150025047	SUSPICIOUS OCC	INVESTIGATIVE DETENTION
150101835	WARRANTS	WARRANT ARREST
150105069	BAD CHECKS	CHECKS, NON-SUFFICIENT FUNDS (MISDEMEANOR)
150462289	NON-CRIMINAL	LOST PROPERTY
150350991	VEHICLE THEFT	STOLEN AUTOMOBILE
150001207	NON-CRIMINAL	AIDED CASE, DOG BITE
150109055	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150018343	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150014238	WEAPON LAWS	POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
150008225	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150017787	OTHER OFFENSES	FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
150029168	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE
150961316	MISSING PERSON	MISSING ADULT
150040233	ROBBERY	ROBBERY, ARMED WITH A GUN
150356143	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150029970	ASSAULT	THREATS AGAINST LIFE
150053606	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED
150034424	BURGLARY	BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
151025878	WARRANTS	WARRANT ARREST
150037042	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150430957	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150270656	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED
150002437	DRUG/NARCOTIC	POSSESSION OF COCAINE
150072606	SECONDARY CODES	DOMESTIC VIOLENCE
150175238	ARSON	ARSON
150069039	WEAPON LAWS	DISCHARGE FIREARM WITHIN CITY LIMITS
150467223	ROBBERY	ROBBERY, BODILY FORCE
150002926	NON-CRIMINAL	CASE CLOSURE
150008388	BURGLARY	BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
150048914	LARCENY/THEFT	PETTY THEFT FROM LOCKED AUTO
150008617	WARRANTS	WARRANT ARREST
150054331	WARRANTS	ENROUTE TO ADULT AUTHORITY
150002681	OTHER OFFENSES	TRAFFIC VIOLATION ARREST
150036107	LARCENY/THEFT	PETTY THEFT FROM A BUILDING
150775634	VEHICLE THEFT	STOLEN AUTOMOBILE
150055135	ASSAULT	BATTERY
150020150	NON-CRIMINAL	LOST PROPERTY
150053913	LIQUOR LAWS	POSSESSION OF ALCOHOL BY MINOR
150028988	LARCENY/THEFT	PETTY THEFT OF PROPERTY
150016159	BURGLARY	BURGLARY, FORCIBLE ENTRY
150005196	DRIVING UNDER THE INFLUENCE	DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
150423974	NON-CRIMINAL	LOST PROPERTY
150019896	LARCENY/THEFT	PETTY THEFT SHOPLIFTING
150047160	WARRANTS	WARRANT ARREST
150044451	LARCENY/THEFT	GRAND THEFT FROM LOCKED AUTO
150029594	ASSAULT	BATTERY
150017759	NON-CRIMINAL	FOUND PROPERTY
150037177	OTHER OFFENSES	RESISTING ARREST
156055416	NON-CRIMINAL	LOST PROPERTY
150032810	SECONDARY CODES	DOMESTIC VIOLENCE
150073030	SUSPICIOUS OCC	SUSPICIOUS OCCURRENCE
150027344	LARCENY/THEFT	GRAND THEFT FROM PERSON
150154191	LARCENY/THEFT	PETTY THEFT OF PROPERTY
150027059	NON-CRIMINAL	AIDED CASE, DOG BITE
150028900	NON-CRIMINAL	COURTESY REPORT
150049257	OTHER OFFENSES	TRAFFIC VIOLATION
150009728	VEHICLE THEFT	STOLEN TRUCK
150029312	FRAUD	ACCESS CARD INFORMATION, THEFT OF
150020570	VEHICLE THEFT	STOLEN AUTOMOBILE
150022093	ASSAULT	BATTERY
